event,date,DAP,treatment,replicate,drainage_cm3,N_mg_per_L,drainage_in,drainage_L,N_mg,N_lbs,N_lbs_per_cm2,N_lbs_per_acre
1,2017-04-19,7,ET 130,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-04-19,7,ET 130,Rep B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-04-19,7,ET 130,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-04-19,7,ET 130,Rep D,245,31.68,0.14277197306098285,0.245,7.7616,1.711122336e-05,2.5327447246891657e-08,1.024965425540807
1,2017-04-19,7,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-04-19,7,CropManage,Rep B,130,114.45,0.07575655713439906,0.13,14.8785,3.2801141100000004e-05,4.855112655417409e-08,1.9647943831051458
1,2017-04-19,7,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-04-19,7,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-05-15,33,ET 130,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-05-15,33,ET 130,Rep B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-05-15,33,ET 130,Rep C,200,143.91,0.11654854943753704,0.2,28.782,6.34527972e-05,9.392065896980463e-08,3.8008342194799405
2,2017-05-15,33,ET 130,Rep D,1910,36.765732984293194,1.1130386471284786,1.91,70.22255,0.00015481263373,2.291483625370042e-07,9.27330522615319
2,2017-05-15,33,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-05-15,33,CropManage,Rep B,1450,156.89520689655174,0.8449769834221436,1.45,227.49805,0.00050154220103,7.423656024718771e-07,30.042470061321612
2,2017-05-15,33,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-05-15,33,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-05-18,36,ET 130,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-05-18,36,ET 130,Rep B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-05-18,36,ET 130,Rep C,50,33.24300000000001,0.02913713735938426,0.05,1.6621500000000005,3.664375890000001e-06,5.423883792184727e-09,0.2194967895875403
3,2017-05-18,36,ET 130,Rep D,45,48.309999999999995,0.026223423623445832,0.045,2.1739499999999996,4.7926901699999996e-06,7.093975976909415e-09,0.2870830224250718
3,2017-05-18,36,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-05-18,36,CropManage,Rep B,50,81.94399999999995,0.02913713735938426,0.05,4.097199999999997,9.032687119999995e-06,1.336987436352871e-08,0.5410596193472728
3,2017-05-18,36,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-05-18,36,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-05-24,42,ET 130,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-05-24,42,ET 130,Rep B,360,139.0,0.20978738898756666,0.36,50.04,0.00011031818399999999,1.632892007104796e-07,6.6080795060376705
4,2017-05-24,42,ET 130,Rep C,135,166.00000000000003,0.0786702708703375,0.135,22.410000000000004,4.940508600000001e-05,7.312771758436947e-08,2.95937373561759
4,2017-05-24,42,ET 130,Rep D,40,49.90000000000001,0.023309709887507406,0.04,1.9960000000000007,4.400381600000001e-06,6.513294256956783e-09,0.26358366694746593
4,2017-05-24,42,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-05-24,42,CropManage,Rep B,210,209.57142857142853,0.12237597690941389,0.21,44.00999999999999,9.702444599999998e-05,1.436122646536412e-07,5.811782155489964
4,2017-05-24,42,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-05-24,42,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-05-31,49,ET 130,Rep A,420,70.6,0.24475195381882778,0.42,29.651999999999997,6.53707992e-05,9.675961989342809e-08,3.9157228919470226
5,2017-05-31,49,ET 130,Rep B,1100,157.03636363636366,0.6410170219064537,1.1,172.74000000000004,0.0003808226040000001,5.636805861456486e-07,22.811344002257144
5,2017-05-31,49,ET 130,Rep C,290,197.1551724137931,0.1689953966844287,0.29,57.175,0.000126048005,1.8657194345766732e-07,7.550298676213107
5,2017-05-31,49,ET 130,Rep D,80,71.63125000000002,0.04661941977501481,0.08,5.730500000000002,1.2633460300000004e-05,1.8699615600947316e-08,0.7567465949110488
5,2017-05-31,49,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-05-31,49,CropManage,Rep B,160,122.84375000000003,0.09323883955002962,0.16,19.655000000000005,4.333141300000001e-05,6.413767465956191e-08,2.5955596061384982
5,2017-05-31,49,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-05-31,49,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-06-05,54,ET 130,Rep A,298,48.95000000000001,0.17365733866193017,0.298,14.587100000000003,3.2158720660000004e-05,4.7600237803434006e-08,1.9263132806259418
6,2017-06-05,54,ET 130,Rep B,720,122.75,0.4195747779751333,0.72,88.38,0.00019484254799999998,2.8839927175843697e-07,11.671104451311136
6,2017-06-05,54,ET 130,Rep C,185,142.67567567567568,0.10780740822972176,0.185,26.395,5.8190417e-05,8.613146388395501e-08,3.4856166778949698
6,2017-06-05,54,ET 130,Rep D,70,0.0,0.040791992303137965,0.07,0.0,0.0,0.0,0.0
6,2017-06-05,54,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-06-05,54,CropManage,Rep B,155,107.83870967741937,0.0903251258140912,0.155,16.715000000000003,3.684988900000001e-05,5.4543944641799905e-08,2.20731512676698
6,2017-06-05,54,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-06-05,54,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-06-09,58,ET 130,Rep A,580,48.9198275862069,0.3379907933688574,0.58,28.3735,6.25522181e-05,9.258765260509178e-08,3.7468893657985576
7,2017-06-09,58,ET 130,Rep B,1180,88.06440677966101,0.6876364416814685,1.18,103.916,0.0002290932136,3.390959348727058e-07,13.722725618493415
7,2017-06-09,58,ET 130,Rep C,210,174.42857142857142,0.12237597690941389,0.21,36.629999999999995,8.0754498e-05,1.1953004440497337e-07,4.837209278700237
7,2017-06-09,58,ET 130,Rep D,260,32.228846153846156,0.15151311426879813,0.26,8.3795,1.84734457e-05,2.7343762137359386e-08,1.1065627941815077
7,2017-06-09,58,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-06-09,58,CropManage,Rep B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-06-09,58,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-06-09,58,CropManage,Rep D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017-06-14,63,ET 130,Rep A,280,74.50714285714284,0.16316796921255186,0.28,20.862,4.59923652e-05,6.807632504440498e-08,2.7549511321934026
8,2017-06-14,63,ET 130,Rep B,960,81.75833333333334,0.5594330373001778,0.96,78.488,0.0001730346448,2.561199597394909e-07,10.364807039765882
8,2017-06-14,63,ET 130,Rep C,280,167.99999999999997,0.16316796921255186,0.28,47.04,0.000103704384,1.5349968028419186e-07,6.211911669944285
8,2017-06-14,63,ET 130,Rep D,370,35.8027027027027,0.21561481645944353,0.37,13.247,2.92043362e-05,4.3227259029011256e-08,1.7493451082430258
8,2017-06-14,63,CropManage,Rep A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017-06-14,63,CropManage,Rep B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017-06-14,63,CropManage,Rep C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
